item_type,item_id,covered,activating_cases
RISK_REGIME,R0,1,T00_BASELINE_VALID_CONFIRMATION|T01_R0_HIGH_DEVELOPMENT_SEARCH|T23_PRACTICAL_THRESHOLD_FAILURE|T30_DEVELOPMENT_EFFECT_PROMOTED
RISK_REGIME,R1,1,T02_R1_OPTIONAL_STOPPING_FIXED_P|T03_R1_VALID_GLOBAL_QUERY_CONTROL|T04_R1_QUERY_BUDGET_EXCEEDED|T05_R1_UNREGISTERED_FEEDBACK|T20_REPEATED_CONFIRMATION_RELEASE|T21_CONTAMINATED_C_WITH_VALID_Q|T22_CONFIRMATION_USED_FOR_SELECTION
RISK_REGIME,R2,1,T06_R2_GLOBAL_MULTIAGENT_LEDGER|T07_R2_PER_AGENT_LEDGER_RESET|T08_R2_AGENT_CONSENSUS_AS_REPLICATION
RISK_REGIME,R3,1,T09_R3_HOLM_CONTROLLED_FINAL_FAMILY|T10_R3_UNADJUSTED_FINAL_FAMILY|T11_R3_POSTFEEDBACK_SEMANTIC_RESET|T33_FINAL_BATCH_NOT_FROZEN
RISK_REGIME,R4,1,T12_R4_ALIASED_EVIDENCE|T13_R4_DEDUPLICATED_EVIDENCE_CONTROL
RISK_REGIME,R5,1,T14_R5_ESTIMAND_MISMATCH_WITH_SIGNIFICANCE|T15_R5_ALIGNED_ESTIMAND_CONTROL
RISK_REGIME,R6,1,T16_R6_DEPLOYMENT_MISMATCH|T17_R6_SUPPORT_FAILURE|T18_R6_DEPLOYMENT_SUPPORT_CONTROL
RISK_REGIME,R7,1,T19_R7_COMPOUND_RISK|T24_TERMINAL_MISSINGNESS_INVALID|T25_UNCERTAINTY_PROVENANCE_FAILURE|T26_DOMAIN_ADMISSIBILITY_FAILURE|T27_PROTOCOL_REGISTRATION_FAILURE|T28_UNBROKERED_EMPIRICAL_ACCESS|T29_INCOMPLETE_SEARCH_LINEAGE|T31_POSTFREEZE_VERSION_MUTATION|T32_DEVELOPMENT_CEILING_EXCEEDED
CORE_GATE,G0,1,T27_PROTOCOL_REGISTRATION_FAILURE
CORE_GATE,G1,1,T14_R5_ESTIMAND_MISMATCH_WITH_SIGNIFICANCE|T19_R7_COMPOUND_RISK
CORE_GATE,G2,1,T12_R4_ALIASED_EVIDENCE|T19_R7_COMPOUND_RISK
CORE_GATE,G3,1,T16_R6_DEPLOYMENT_MISMATCH
CORE_GATE,G4,1,T17_R6_SUPPORT_FAILURE
CORE_GATE,G5,1,T25_UNCERTAINTY_PROVENANCE_FAILURE
CORE_GATE,G6,1,T26_DOMAIN_ADMISSIBILITY_FAILURE
AGENT_RULE,RA-001,1,T27_PROTOCOL_REGISTRATION_FAILURE
AGENT_RULE,RA-002,1,T28_UNBROKERED_EMPIRICAL_ACCESS
AGENT_RULE,RA-003,1,T29_INCOMPLETE_SEARCH_LINEAGE
AGENT_RULE,RA-004,1,T07_R2_PER_AGENT_LEDGER_RESET|T19_R7_COMPOUND_RISK
AGENT_RULE,RA-005,1,T12_R4_ALIASED_EVIDENCE|T19_R7_COMPOUND_RISK
AGENT_RULE,RA-006,1,T08_R2_AGENT_CONSENSUS_AS_REPLICATION
AGENT_RULE,RA-008,1,T11_R3_POSTFEEDBACK_SEMANTIC_RESET|T19_R7_COMPOUND_RISK
AGENT_RULE,RA-009,1,T32_DEVELOPMENT_CEILING_EXCEEDED
AGENT_RULE,RA-010,1,T04_R1_QUERY_BUDGET_EXCEEDED
AGENT_RULE,RA-011,1,T05_R1_UNREGISTERED_FEEDBACK
AGENT_RULE,RA-012,1,T33_FINAL_BATCH_NOT_FROZEN
AGENT_RULE,RA-013,1,T20_REPEATED_CONFIRMATION_RELEASE
AGENT_RULE,RA-014,1,T19_R7_COMPOUND_RISK|T21_CONTAMINATED_C_WITH_VALID_Q
AGENT_RULE,RA-016,1,T10_R3_UNADJUSTED_FINAL_FAMILY|T19_R7_COMPOUND_RISK
AGENT_RULE,RA-017,1,T02_R1_OPTIONAL_STOPPING_FIXED_P|T19_R7_COMPOUND_RISK
AGENT_RULE,RA-019,1,T12_R4_ALIASED_EVIDENCE|T14_R5_ESTIMAND_MISMATCH_WITH_SIGNIFICANCE|T16_R6_DEPLOYMENT_MISMATCH|T17_R6_SUPPORT_FAILURE|T19_R7_COMPOUND_RISK|T25_UNCERTAINTY_PROVENANCE_FAILURE|T26_DOMAIN_ADMISSIBILITY_FAILURE|T27_PROTOCOL_REGISTRATION_FAILURE
AGENT_RULE,RA-020,1,T14_R5_ESTIMAND_MISMATCH_WITH_SIGNIFICANCE|T16_R6_DEPLOYMENT_MISMATCH|T17_R6_SUPPORT_FAILURE|T19_R7_COMPOUND_RISK
AGENT_RULE,RA-022,1,T22_CONFIRMATION_USED_FOR_SELECTION|T30_DEVELOPMENT_EFFECT_PROMOTED
AGENT_RULE,RA-023,1,T23_PRACTICAL_THRESHOLD_FAILURE
AGENT_RULE,RA-025,1,T24_TERMINAL_MISSINGNESS_INVALID
AGENT_RULE,RA-029,1,T31_POSTFREEZE_VERSION_MUTATION
