mutant,killed,first_killing_case,killing_case_count
M_IGNORE_G0,1,T27_PROTOCOL_REGISTRATION_FAILURE,1
M_IGNORE_G1,1,T14_R5_ESTIMAND_MISMATCH_WITH_SIGNIFICANCE,2
M_IGNORE_G2,1,T12_R4_ALIASED_EVIDENCE,2
M_IGNORE_G3,1,T16_R6_DEPLOYMENT_MISMATCH,1
M_IGNORE_G4,1,T17_R6_SUPPORT_FAILURE,1
M_IGNORE_G5,1,T25_UNCERTAINTY_PROVENANCE_FAILURE,1
M_IGNORE_G6,1,T26_DOMAIN_ADMISSIBILITY_FAILURE,1
M_IGNORE_BROKER,1,T28_UNBROKERED_EMPIRICAL_ACCESS,1
M_IGNORE_LINEAGE,1,T29_INCOMPLETE_SEARCH_LINEAGE,1
M_PER_AGENT_BUDGET_RESET,1,T07_R2_PER_AGENT_LEDGER_RESET,2
M_COUNT_AGENT_CONSENSUS_AS_REPLICATION,1,T08_R2_AGENT_CONSENSUS_AS_REPLICATION,1
M_IGNORE_Q_BUDGET,1,T04_R1_QUERY_BUDGET_EXCEEDED,1
M_IGNORE_FEEDBACK_REGISTRATION,1,T05_R1_UNREGISTERED_FEEDBACK,1
M_IGNORE_SEQUENTIAL_VALIDITY,1,T02_R1_OPTIONAL_STOPPING_FIXED_P,2
M_IGNORE_FINAL_MULTIPLICITY,1,T10_R3_UNADJUSTED_FINAL_FAMILY,2
M_ALLOW_SEMANTIC_RESET,1,T11_R3_POSTFEEDBACK_SEMANTIC_RESET,2
M_ALLOW_C_REUSE,1,T20_REPEATED_CONFIRMATION_RELEASE,1
M_ALLOW_CONTAMINATED_C,1,T19_R7_COMPOUND_RISK,2
M_ALLOW_C_SELECTION,1,T22_CONFIRMATION_USED_FOR_SELECTION,1
M_IGNORE_PRACTICAL_THRESHOLD,1,T23_PRACTICAL_THRESHOLD_FAILURE,1
M_IGNORE_MISSINGNESS,1,T24_TERMINAL_MISSINGNESS_INVALID,1
M_USE_DEVELOPMENT_EFFECT,1,T30_DEVELOPMENT_EFFECT_PROMOTED,1
M_ALLOW_VERSION_MUTATION,1,T31_POSTFREEZE_VERSION_MUTATION,1
M_PENALIZE_DEVELOPMENT_SEARCH,1,T00_BASELINE_VALID_CONFIRMATION,6
