scenario,policy,level,replicates,false_claims,false_claim_rate,false_claim_wilson95_low,false_claim_wilson95_high,true_claims,true_opportunities,true_claim_coverage,development_winner_rate,mean_selection_optimism
R0_ONE_SHOT,B2_PROTECTED_ONE_SHOT,1,50000,2533,0.05066,0.04877204826253467,0.05261699127747395,40086,50000,0.80172,0.05134,0.0033234967009633416
R0_ONE_SHOT,B5_V11_HYBRID_R0,1,50000,2533,0.05066,0.04877204826253467,0.05261699127747395,40086,50000,0.80172,0.05134,0.0033234967009633416
R0_ONE_SHOT,B2_PROTECTED_ONE_SHOT,10,50000,2569,0.05138,0.049479119132777506,0.05334980978171635,40223,50000,0.80446,0.39956,1.5279408004966668
R0_ONE_SHOT,B5_V11_HYBRID_R0,10,50000,2569,0.05138,0.049479119132777506,0.05334980978171635,40223,50000,0.80446,0.39956,1.5279408004966668
R0_ONE_SHOT,B2_PROTECTED_ONE_SHOT,100,50000,2426,0.04852,0.046671120623957896,0.05043824771966407,40059,50000,0.80118,0.99432,2.5106806614203654
R0_ONE_SHOT,B5_V11_HYBRID_R0,100,50000,2426,0.04852,0.046671120623957896,0.05043824771966407,40059,50000,0.80118,0.99432,2.5106806614203654
R0_ONE_SHOT,B2_PROTECTED_ONE_SHOT,1000,50000,2455,0.0491,0.047240433620799736,0.05102884560782422,40090,50000,0.8018,1.0,3.2361676067648544
R0_ONE_SHOT,B5_V11_HYBRID_R0,1000,50000,2455,0.0491,0.047240433620799736,0.05102884560782422,40090,50000,0.8018,1.0,3.2361676067648544
R1_REUSABLE_HOLDOUT,B1_NAIVE_REUSE,1,50000,2491,0.04982,0.04794726845557733,0.05176190014753186,,,,,
R1_REUSABLE_HOLDOUT,B5_GLOBAL_QUERY_CONTROL,1,50000,2491,0.04982,0.04794726845557733,0.05176190014753186,,,,,
R1_REUSABLE_HOLDOUT,B1_NAIVE_REUSE,5,50000,11356,0.22712,0.22346867153114078,0.23081325553895657,,,,,
R1_REUSABLE_HOLDOUT,B5_GLOBAL_QUERY_CONTROL,5,50000,2462,0.04924,0.047377864986788906,0.051171392731318294,,,,,
R1_REUSABLE_HOLDOUT,B1_NAIVE_REUSE,20,50000,32120,0.6424,0.6381880921087618,0.6465900286227616,,,,,
R1_REUSABLE_HOLDOUT,B5_GLOBAL_QUERY_CONTROL,20,50000,2518,0.05036,0.048477467045761134,0.052311618588211976,,,,,
R1_REUSABLE_HOLDOUT,B1_NAIVE_REUSE,100,50000,49711,0.99422,0.9935165149182664,0.9948475498846375,,,,,
R1_REUSABLE_HOLDOUT,B5_GLOBAL_QUERY_CONTROL,100,50000,2493,0.04986,0.047986540310566,0.05180262214668126,,,,,
R2_MULTIAGENT_SHARED_Q,B1_PER_AGENT_RESET,5,50000,11382,0.22764,0.22398566737926587,0.23133617979462637,,,,,
R2_MULTIAGENT_SHARED_Q,B5_GLOBAL_MULTIAGENT_CONTROL,5,50000,2491,0.04982,0.04794726845557733,0.05176190014753186,,,,,
R2_MULTIAGENT_SHARED_Q,B1_PER_AGENT_RESET,10,50000,20344,0.40688,0.4025813774986851,0.41119293006789154,,,,,
R2_MULTIAGENT_SHARED_Q,B5_GLOBAL_MULTIAGENT_CONTROL,10,50000,2545,0.0509,0.04900772669872843,0.0528612759661086,,,,,
R2_MULTIAGENT_SHARED_Q,B1_PER_AGENT_RESET,20,50000,31904,0.63808,0.6338573604429967,0.6422814240416155,,,,,
R2_MULTIAGENT_SHARED_Q,B5_GLOBAL_MULTIAGENT_CONTROL,20,50000,2404,0.04808,0.04623927748164205,0.04999015846646116,,,,,
R2_MULTIAGENT_SHARED_Q,B1_PER_AGENT_RESET,40,50000,43557,0.87114,0.8681747179352938,0.8740482576847738,,,,,
R2_MULTIAGENT_SHARED_Q,B5_GLOBAL_MULTIAGENT_CONTROL,40,50000,2445,0.0489,0.047044110482825696,0.05082519947510791,,,,,
R3_MULTICLAIM_FINAL,B1_UNADJUSTED_FINAL_CLAIMS,1,50000,2492,0.04984,0.04796690434056992,0.051782261189608304,,,,,
R3_MULTICLAIM_FINAL,B5_FINAL_HOLM_CONTROL,1,50000,2492,0.04984,0.04796690434056992,0.051782261189608304,,,,,
R3_MULTICLAIM_FINAL,B1_UNADJUSTED_FINAL_CLAIMS,5,50000,11191,0.22382,0.22018792493122066,0.227494509172486,,,,,
R3_MULTICLAIM_FINAL,B5_FINAL_HOLM_CONTROL,5,50000,2414,0.04828,0.04643556448498023,0.05019384073381334,,,,,
R3_MULTICLAIM_FINAL,B1_UNADJUSTED_FINAL_CLAIMS,20,50000,32155,0.6431,0.638889865922088,0.6472881472568518,,,,,
R3_MULTICLAIM_FINAL,B5_FINAL_HOLM_CONTROL,20,50000,2442,0.04884,0.046985215242173625,0.050764103934552884,,,,,
R3_MULTICLAIM_FINAL,B1_UNADJUSTED_FINAL_CLAIMS,100,50000,49709,0.99418,0.9934742401673778,0.9948098307813881,,,,,
R3_MULTICLAIM_FINAL,B5_FINAL_HOLM_CONTROL,100,50000,2478,0.04956,0.04769200970811903,0.051497198843092715,,,,,
R5_STRUCTURAL_MISMATCH,B4_NUMERICAL_ONLY,1,50000,11937,0.23874,0.23502342643560878,0.24249671526159747,28147,35003,0.8041310744793303,,
R5_STRUCTURAL_MISMATCH,B5_V11_HYBRID,1,50000,0,0.0,0.0,7.682327414500052e-05,28147,35003,0.8041310744793303,,
