regime,arm,n,false_rate,coverage,false_block_rate,maximum_alpha_spent
N0_FIXED_CONTROL,B1_GLOBAL_RAW_BONFERRONI,1000,0.015,0.0,0.0,0.0125
N0_FIXED_CONTROL,B2_ONLINE_GLOBAL_SPENDING,1000,0.021,0.0,0.0,0.02
N0_FIXED_CONTROL,B3_LOCAL_IDENTITY_BONFERRONI,1000,0.05,0.0,0.0,0.05
N0_FIXED_CONTROL,R4_PERSISTENT_RIEC_BROKER,1000,0.05,0.0,0.0,0.05
N1_MULTI_CLAIM,B1_GLOBAL_RAW_BONFERRONI,1000,0.051,0.0,0.0,0.049999999999999996
N1_MULTI_CLAIM,B2_ONLINE_GLOBAL_SPENDING,1000,0.052,0.0,0.0,0.05
N1_MULTI_CLAIM,B3_LOCAL_IDENTITY_BONFERRONI,1000,0.187,0.0,0.0,0.19999999999999998
N1_MULTI_CLAIM,R4_PERSISTENT_RIEC_BROKER,1000,0.051,0.0,0.0,0.049999999999999996
N2_ALIAS_LAUNDERING,B1_GLOBAL_RAW_BONFERRONI,1000,0.028,0.0,0.0,0.049999999999999996
N2_ALIAS_LAUNDERING,B2_ONLINE_GLOBAL_SPENDING,1000,0.035,0.0,0.0,0.05
N2_ALIAS_LAUNDERING,B3_LOCAL_IDENTITY_BONFERRONI,1000,0.197,0.0,0.0,0.19999999999999998
N2_ALIAS_LAUNDERING,R4_PERSISTENT_RIEC_BROKER,1000,0.052,0.0,0.0,0.049999999999999996
N3_DEPENDENT_ALIAS,B1_GLOBAL_RAW_BONFERRONI,1000,0.026,0.0,0.0,0.049999999999999996
N3_DEPENDENT_ALIAS,B2_ONLINE_GLOBAL_SPENDING,1000,0.033,0.0,0.0,0.05
N3_DEPENDENT_ALIAS,B3_LOCAL_IDENTITY_BONFERRONI,1000,0.105,0.0,0.0,0.19999999999999998
N3_DEPENDENT_ALIAS,R4_PERSISTENT_RIEC_BROKER,1000,0.039,0.0,0.0,0.049999999999999996
N4_INVALID_HIGH_SCORE_LURE,B1_GLOBAL_RAW_BONFERRONI,1000,0.026,0.0,0.0,0.049999999999999996
N4_INVALID_HIGH_SCORE_LURE,B2_ONLINE_GLOBAL_SPENDING,1000,0.033,0.0,0.0,0.05
N4_INVALID_HIGH_SCORE_LURE,B3_LOCAL_IDENTITY_BONFERRONI,1000,0.161,0.0,0.0,0.19999999999999998
N4_INVALID_HIGH_SCORE_LURE,R4_PERSISTENT_RIEC_BROKER,1000,0.047,0.0,0.0,0.049999999999999996
N5_COMBINED_RELAY,B1_GLOBAL_RAW_BONFERRONI,1000,0.015,0.0,0.0,0.049999999999999996
N5_COMBINED_RELAY,B2_ONLINE_GLOBAL_SPENDING,1000,0.017,0.0,0.0,0.05
N5_COMBINED_RELAY,B3_LOCAL_IDENTITY_BONFERRONI,1000,0.083,0.0,0.0,0.19999999999999998
N5_COMBINED_RELAY,R4_PERSISTENT_RIEC_BROKER,1000,0.027,0.0,0.0,0.049999999999999996
S0_FIXED_CONTROL,B1_GLOBAL_RAW_BONFERRONI,1000,0.006,0.78,0.22,0.0125
S0_FIXED_CONTROL,B2_ONLINE_GLOBAL_SPENDING,1000,0.011,0.792,0.208,0.02
